быть;sein, werden
сказа́ть;sagen, mitteilen
мочь;können, imstande sein, dürfen
знать;wissen, kennen, sich auskennen, Bescheid wissen, können, verstehen, beherrschen
говори́ть;sprechen, reden, sagen
стать;sich aufrichten, sich stellen, treten, steigen, stehenbleiben, werden
есть;essen, fressen, es gibt
хоте́ть;wollen, Lust haben
ви́деть;sehen
идти́;gehen, kommen, folgen, fahren, abgehen, fuhren, vergehen, stattfinden, laufen, gezeigt werden, stehen, passen
стоя́ть;stehen, halten, sein, herrschen
ду́мать;denken, überlegen, nachdenken, sich erinnern, meinen, glauben, beabsichtigen
спроси́ть;fragen, eine Frage stellen, sich erkundigen, bitten, abfragen
жить;leben, wohnen
смотре́ть;sehen, schauen, ansehen, zusehen, aufpassen, achten, pflegen
име́ть;haben, besitzen
поня́ть;verstehen
сиде́ть;sitzen, passen
де́лать;machen, tun, verfertigen, herstellen
сде́лать;machen, tun
взять;nehmen, borgen kaufen, bestellen, holen
понима́ть;verstehen, begreifen, Verständnis haben, sich verstehen
каза́ться;scheinen, erscheinen, vorkommen, ausgehen
нача́ть;anfangen, beginnen
уви́деть;sehen, erblicken, bemerken
дава́ть;geben
пойти́;losgehen
оста́ться;bleiben, sein, übrigbleiben
вы́йти;hinausgehen, hinaustreten, verlassen, aussteigen, herauskommen, ausgehen, alle sein
дать;geben, lassen
рабо́тать;arbeiten, berufstätig sein, sein, tätig sein, funktionieren, gehen, laufen, geöffnet sein, in Betrieb sein
оказа́ться;geraten, gelangen, sich finden, sich erweisen
отве́тить;antworten, beantworten, verantworten
поду́мать;denken, überlegen
люби́ть;lieben, liebhaben, gern haben, mögen
зна́чить;bedeuten, heißen, gelten
ждать;warten, erwarten
посмотре́ть;sehen, ansehen, schauen
найти́;finden, ausfindig machen
лежа́ть;liegen
реши́ть;beschließen, einen Entschluß fassen, entscheiden, eine Entscheidung treffen, lösen
получи́ть;bekommen, erhalten, empfangen
писа́ть;schreiben, malen
пи́сать;pinkeln
верну́ться;zurückkehren, zurückkommen, zurück sein
счита́ть;zählen, rechnen, halten, betrachten, meinen, denken
по́мнить;sich erinnern, denken an
помни́ть;sich erinnern, denken an
узна́ть;erkennen, wiedererkennen, erfahren, sich erkundigen, kennenlernen
прийти́;kommen, ankommen, angelangen
ходи́ть;gehen, besuchen, verkehren, fahren, ziehen, einen Zug machen, ausspielen, tragen
заме́тить;bemerken, merken, sagen, eine Bemerkung machen
быва́ть;vorkommen, geschehen, passieren, stattfinden, kommen, sein
слы́шать;hören
уйти́;weggehen, fortgehen, verlassen, gehen, wegfahren, abfahren
боя́ться;Angst haben, sich fürchten, fürchten
слу́шать;hören, zuhören, lauschen
гляде́ть;blicken, schauen
сесть;hinsetzen, sich setzen, Platz nehmen, sich niederlassen, steigen, landen, untergehen, eingehen, einlaufen
остава́ться;bleiben, sein, übrigbleiben
написа́ть;schreiben, malen
чита́ть;lesen
чу́вствовать;fühlen, empfinden, spüren
вести́;führen, begleiten, bringen, leiten, lenken, steuern, fahren, führen zu, verhalten, benehmen
продолжа́ть;fortsetzen, weitermachen
успе́ть;gerade noch Zeit haben, gerade noch schaffen, rechtzeitig kommen, zurechtkommen
брать;nehmen
пройти́;zurückliegen, vergehen, vorbei sein, aufhören, verlaufen, stattfinden, durchnehmen, behandeln
начина́ть;anfangen, beginnen
появи́ться;erscheinen, auftauchen, sich zeigen, zum Vorschein kommen, entstehen, auftreten
забы́ть;vergessen, liegenlassen, stehenlassen
вспо́мнить;sich erinnern, denken, zurückdenken
пыта́ться;versuchen
находи́ться;sein, sich befinden
держа́ть;halten, aufbewahren
проси́ть;bitten, auffordern, einladen
показа́ть;zeigen, sehen lassen, vorführen, weisen, angeben, aussagen
выходи́ть;herausgehen, verlassen, aussteigen
вы́ходить;aufbringen, pflegen
подня́ть;aufheben, aufsammeln, hochhelfen, heben, hochheben, hochnehmen, wecken, steigern, erhöhen
называ́ть;nennen, bennenen
посла́ть;schicken, senden
подойти́;herantreten, kommen, sich nähern, heranrücken, passen, geeignet sein
рассказа́ть;erzählen, berichten, mitteilen
встать;aufstehen, sich erheben von -, sich stellen, ausgehen
спра́шивать;fragen
сле́довать;folgen, nachfolgen, befolgen, fahren, gehen, sich ergeben
поста́вить;stellen, setzen, aufliegen, parken, aufführen, inszenieren, drehen, produzieren, anstellen, geben, liefern
бро́сить;werfen, aufgeben
оста́вить;lassen, zurücklassen, liegenlassen, stehenlassen, hinterlassen, zurückliegen, aufheben, reservieren, verlassen
отвеча́ть;antworten, verantwortlich sein, entsprechen, gerecht werden, Rechnung tragen
уходи́ть;gehen, weggehen
войти́;eintreten, betreten, hereinkommen, gehen, steigen, hineingehen, hineinpassen Vertrauen erwerben
расска́зывать;erzählen, berichten, mitteilen
молча́ть;schweigen
спать;schlafen
явля́ться;sein
иска́ть;suchen
останови́ться;anhalten, stehenbleiben, halten, stocken, sich beherrschen, eingehen
ве́рить;glauben, vertrauen, sicher sein
